# NACA 0012 half-thickness ordinates (upper surface; lower is the mirror image).
# Source: US Army Helicopter Design Datcom, Vol I - Airfoils, USAAMRDL CR 76-2,
#         September 1976, sheet 1.3.20 (AD-A033425), transcribed from the
#         printed table. Model tested at NPL, t/c = 0.12, LE radius r/c = 0.0158.
x_c,y_c
0.0,0.0
0.0005,0.0040
0.0010,0.0056
0.0025,0.0087
0.0050,0.0122
0.0075,0.0149
0.0100,0.0170
0.0125,0.0189
0.015,0.0206
0.02,0.0236
0.03,0.0284
0.04,0.0323
0.05,0.0355
0.06,0.0383
0.08,0.0430
0.10,0.0469
0.12,0.0499
0.14,0.0524
0.16,0.0544
0.18,0.0560
0.20,0.0574
0.225,0.0586
0.25,0.0594
0.275,0.0599
0.3,0.0600
0.325,0.0599
0.35,0.0595
0.375,0.0588
0.4,0.0580
0.425,0.0569
0.45,0.0558
0.475,0.0544
0.5,0.0529
0.55,0.0495
0.6,0.0456
0.65,0.0413
0.7,0.0366
0.75,0.0315
0.8,0.0262
0.85,0.0205
0.9,0.0145
0.95,0.0080
1.00,0.0013
