# NACA 0015 section drag coefficient, digitised from figure 32 of NACA
# Report 832 (Graham, Nitzberg & Olson, 1945), Ames 1x3.5 ft high-speed
# tunnel, 1e6 <= Re <= 2e6. Produced by reference/digitize_tr832_drag.py --
# see that file for the method and for what it deliberately does not claim.
#
# cd is the mean of the readings at cl = +0.22 and cl = -0.22. Those
# are the only two columns of figure 32 where all fourteen curves resolve
# cleanly: clear of the printed Mach labels, and inside the cl range where
# M = 0.825 is still on the page. This is NOT minimum drag -- the drag bucket
# bottom is hidden under the printed Mach labels and is not reported.
#
# sym_half_diff is a self-check, not data: the 0015 is symmetric, so the two
# readings must agree. They do, to better than 0.0005 up to M = 0.650; above
# that the curves are steep enough that a fraction of a line width in the cl
# calibration shows up as a real difference, so treat it as the error bar.
# fig42_lo/fig42_hi are the envelope of all five sections in figure 42 at
# cl = 0.20, measured off page 54 -- the independent check on the baseline
# assignment, not data about the 0015.
mach,cd,sym_half_diff,fig42_lo,fig42_hi
0.3,0.0078,0.0001,0.0051,0.0074
0.4,0.0065,0.0002,0.0052,0.0071
0.5,0.0079,0.0001,0.0055,0.0071
0.55,0.0082,0.0002,,
0.6,0.0085,0.0000,0.0054,0.0085
0.625,0.0085,0.0002,,
0.65,0.0093,0.0002,0.0035,0.0087
0.675,0.0098,0.0004,0.0057,0.0104
0.7,0.0111,0.0009,0.0063,0.0144
0.725,0.0131,0.0011,0.0105,0.0214
0.75,0.0184,0.0018,0.0195,0.0403
0.775,0.0295,0.0024,0.0302,0.0735
0.8,0.0607,0.0042,0.0401,0.0919
0.825,0.1000,0.0072,0.0751,0.1020
