# NACA 0015 half-thickness ordinates (upper surface; lower is the mirror image).
# Source: US Army Helicopter Design Datcom, Vol I - Airfoils, USAAMRDL CR 76-2,
#         September 1976, sheet 1.3.60 (AD-A033425), transcribed from the
#         printed table. Ames 1x3.5 ft tunnel, t/c = 0.15, LE radius r/c = 0.0248.
x_c,y_c
0.0,0.0
0.0125,0.02367
0.025,0.03268
0.05,0.04443
0.075,0.0525
0.1,0.05853
0.15,0.06682
0.2,0.07172
0.25,0.07427
0.3,0.07502
0.4,0.07254
0.5,0.06617
0.6,0.05704
0.7,0.0458
0.8,0.03279
0.9,0.0181
0.95,0.01008
1.0,0.00158
