# NACA 0015, digitised from figure 27 of NACA Report 832 (Graham, Nitzberg
# & Olson, 1945), Ames 1x3.5 ft high-speed tunnel, 1e6 <= Re <= 2e6.
# Produced by reference/digitize_tr832.py -- see that file for method and limits.
# zero_lift_deg is a self-check, not data: symmetry demands 0, and every curve
# lands within 0.21 deg, which validates the axis calibration and curve identity.
mach,lift_slope_per_deg,zero_lift_deg
0.3,0.1000,+0.01
0.4,0.1011,+0.03
0.5,0.1069,+0.05
0.55,0.1128,-0.02
0.6,0.1183,+0.02
0.625,0.1224,+0.05
0.65,0.1246,+0.05
0.675,0.1282,+0.10
0.7,0.1079,-0.08
0.725,0.1122,+0.05
0.75,0.1092,-0.20
0.775,0.1087,+0.04
0.8,0.0994,-0.13
0.825,0.0941,+0.21
