# NACA Report 832 (Graham, Nitzberg & Olson, 1945), Ames 1x3.5 ft
# high-speed tunnel, 1e6 <= Re <= 2e6.  Figure 40 on printed page 49.
# The five sections of Report 832 are NACA 65_2-215 (a=0.5), 66,2-215
# (a=0.6), 0015, 23015 and 4415 -- five cambers at 15% thickness, NOT a
# 0006..0018 thickness family.
# Produced by reference/digitize_tr832_fig40_42.py -- see that file for
# the method, the self-checks and the limits.
# NO per-airfoil curve is given for this figure.  All five dash
# patterns lie within a line width of one another below M ~ 0.66 and
# cross each other above M ~ 0.75, and nothing independent of the dash
# pattern distinguishes them, so naming any single trace would be a
# guess.  What is given instead is the envelope of the bundle -- the
# highest and the lowest of the five curves at each Mach number.  All
# five sections lie between the two value columns.
# columns = readable image columns averaged into the Mach bin.
mach,lift_curve_slope_per_deg_max,lift_curve_slope_per_deg_min,columns
0.305,0.11347,0.09883,8
0.310,0.11297,0.09875,9
0.315,0.11451,0.09878,9
0.320,0.11459,0.09881,8
0.325,0.11531,0.09880,9
0.330,0.11610,0.09884,9
0.335,0.11642,0.09840,8
0.340,0.11732,0.09835,9
0.345,0.11771,0.09828,8
0.355,0.11936,0.09905,7
0.360,0.11962,0.09920,7
0.365,0.12007,0.09910,9
0.370,0.12073,0.09908,9
0.375,0.12141,0.09908,8
0.380,0.12184,0.09916,9
0.385,0.12272,0.09920,9
0.390,0.12295,0.09920,9
0.395,0.12365,0.09926,7
0.405,0.12486,0.09943,8
0.410,0.12554,0.09943,8
0.415,0.12607,0.09943,9
0.420,0.12686,0.09943,9
0.425,0.12730,0.09980,9
0.430,0.12801,0.10000,8
0.435,0.12852,0.10004,9
0.440,0.12908,0.10011,9
0.445,0.12957,0.10057,7
0.455,0.13061,0.10116,8
0.460,0.13109,0.10134,9
0.465,0.13153,0.10147,8
0.470,0.13198,0.10137,9
0.475,0.13247,0.10178,9
0.480,0.13294,0.10205,9
0.485,0.13332,0.10210,8
0.490,0.13374,0.10248,9
0.495,0.13411,0.10272,8
0.505,0.13497,0.10324,7
0.510,0.13528,0.10349,9
0.515,0.13565,0.10384,9
0.520,0.13598,0.10417,8
0.525,0.13630,0.10453,9
0.530,0.13666,0.10471,9
0.535,0.13696,0.10531,9
0.540,0.13718,0.10583,8
0.545,0.13744,0.10596,8
0.555,0.13787,0.10714,8
0.560,0.13803,0.10757,8
0.565,0.13825,0.10809,9
0.570,0.13842,0.10863,9
0.575,0.13860,0.10919,9
0.580,0.13860,0.10974,8
0.585,0.13860,0.11032,9
0.590,0.13878,0.11084,9
0.595,0.13883,0.11088,7
0.605,0.13916,0.11260,8
0.610,0.13918,0.11357,9
0.615,0.13969,0.11428,8
0.620,0.14004,0.11493,9
0.625,0.14028,0.11564,9
0.630,0.14051,0.11638,9
0.635,0.14086,0.11710,8
0.640,0.14116,0.11789,9
0.645,0.14185,0.11870,8
0.655,0.14386,0.12065,7
0.660,0.14462,0.12090,9
0.665,0.14518,0.12142,9
0.670,0.14817,0.12314,8
0.675,0.14639,0.12412,9
0.680,0.14904,0.12524,9
0.685,0.14761,0.12649,9
0.690,0.14772,0.12749,8
0.695,0.14769,0.12855,8
0.705,0.14078,0.13175,7
0.710,0.13454,0.13271,9
0.715,0.13332,0.13332,9
0.720,0.13519,0.13495,9
0.725,0.13803,0.13479,8
0.730,0.13904,0.13373,9
0.735,0.14060,0.13100,9
0.740,0.14139,0.12842,9
0.745,0.14220,0.12682,7
0.755,0.14233,0.12075,8
0.760,0.14237,0.12048,9
0.765,0.14117,0.11718,8
0.770,0.14033,0.11469,9
0.775,0.14032,0.11123,9
0.780,0.14032,0.10165,8
0.785,0.14032,0.09989,9
0.790,0.14032,0.09471,9
0.795,0.14032,0.09313,5
