# NACA Report 832 (Graham, Nitzberg & Olson, 1945), Ames 1x3.5 ft
# high-speed tunnel, 1e6 <= Re <= 2e6.  Figure 41 on printed page 49.
# The five sections of Report 832 are NACA 65_2-215 (a=0.5), 66,2-215
# (a=0.6), 0015, 23015 and 4415 -- five cambers at 15% thickness, NOT a
# 0006..0018 thickness family.
# Produced by reference/digitize_tr832_fig40_42.py -- see that file for
# the method, the self-checks and the limits.
# Only the NACA 0015 and the NACA 4415 are given.  The 0015 is the only
# symmetric section of the five and so the only curve that can sit at
# zero; the 4415 is alone in the whole lower half of the plot near -4
# deg.  Both identities are fixed by physics, not by reading the dash
# pattern off the scan.  The other three (65_2-215, 66,2-215, 23015) lie
# inside a 0.5 deg band around -1.3 deg; their order is not recoverable
# from this scan and they are deliberately omitted.
# Self-check: 0015 level below M=0.6 is +0.193 deg
#             (symmetry demands 0.000 -- this validates the y calibration)
#             4415 level below M=0.6 is -4.046 deg
#             (published low-speed value -4.0)
# columns = readable image columns averaged into the Mach bin.
mach,airfoil,angle_of_zero_lift_deg,columns
0.305,NACA 0015,-0.052,7
0.305,NACA 4415,-4.152,1
0.310,NACA 0015,-0.052,9
0.310,NACA 4415,-4.152,1
0.315,NACA 0015,-0.052,9
0.315,NACA 4415,-4.112,2
0.320,NACA 0015,-0.052,8
0.320,NACA 4415,-4.092,5
0.325,NACA 0015,-0.052,9
0.325,NACA 4415,-4.082,9
0.330,NACA 0015,-0.052,9
0.330,NACA 4415,-4.098,9
0.335,NACA 0015,-0.052,1
0.335,NACA 4415,-4.079,8
0.340,NACA 4415,-4.085,9
0.345,NACA 0015,+0.200,1
0.345,NACA 4415,-4.088,8
0.355,NACA 4415,-4.076,7
0.360,NACA 0015,+0.214,7
0.360,NACA 4415,-4.072,9
0.365,NACA 0015,+0.221,9
0.365,NACA 4415,-4.072,9
0.370,NACA 0015,+0.223,9
0.370,NACA 4415,-4.066,9
0.375,NACA 0015,+0.223,8
0.375,NACA 4415,-4.061,8
0.380,NACA 0015,+0.226,9
0.380,NACA 4415,-4.061,9
0.385,NACA 0015,+0.228,9
0.385,NACA 4415,-4.056,9
0.390,NACA 0015,+0.231,9
0.390,NACA 4415,-4.058,9
0.395,NACA 0015,+0.235,7
0.395,NACA 4415,-4.064,7
0.405,NACA 0015,+0.235,2
0.405,NACA 4415,-4.062,8
0.410,NACA 0015,+0.235,8
0.410,NACA 4415,-4.044,8
0.415,NACA 0015,+0.235,1
0.415,NACA 4415,-4.055,9
0.420,NACA 0015,+0.234,7
0.420,NACA 4415,-4.045,9
0.425,NACA 0015,+0.235,9
0.425,NACA 4415,-4.045,9
0.430,NACA 0015,+0.241,8
0.430,NACA 4415,-4.062,8
0.435,NACA 0015,+0.241,9
0.435,NACA 4415,-4.040,9
0.440,NACA 0015,+0.246,9
0.440,NACA 4415,-4.038,9
0.445,NACA 0015,+0.246,7
0.445,NACA 4415,-4.038,7
0.455,NACA 0015,+0.246,8
0.455,NACA 4415,-4.037,8
0.460,NACA 0015,+0.240,8
0.460,NACA 4415,-4.036,5
0.465,NACA 4415,-4.032,8
0.470,NACA 0015,+0.246,8
0.470,NACA 4415,-4.038,4
0.475,NACA 0015,+0.244,5
0.475,NACA 4415,-4.032,9
0.480,NACA 0015,+0.238,4
0.480,NACA 4415,-4.035,9
0.485,NACA 0015,+0.235,8
0.485,NACA 4415,-4.031,8
0.490,NACA 0015,+0.235,9
0.490,NACA 4415,-4.023,9
0.495,NACA 0015,+0.235,8
0.495,NACA 4415,-4.041,7
0.505,NACA 0015,+0.235,7
0.505,NACA 4415,-4.022,7
0.510,NACA 0015,+0.235,9
0.510,NACA 4415,-4.021,9
0.515,NACA 0015,+0.235,9
0.515,NACA 4415,-4.017,9
0.520,NACA 0015,+0.235,8
0.520,NACA 4415,-4.017,8
0.525,NACA 0015,+0.232,2
0.525,NACA 4415,-4.034,3
0.530,NACA 0015,+0.236,8
0.530,NACA 4415,-4.028,9
0.535,NACA 0015,+0.235,4
0.535,NACA 4415,-4.037,9
0.540,NACA 0015,+0.241,1
0.540,NACA 4415,-4.035,8
0.545,NACA 0015,+0.236,8
0.545,NACA 4415,-4.031,8
0.555,NACA 0015,+0.235,8
0.555,NACA 4415,-4.026,8
0.560,NACA 0015,+0.235,8
0.560,NACA 4415,-4.024,5
0.565,NACA 0015,+0.235,9
0.565,NACA 4415,-4.023,4
0.570,NACA 0015,+0.235,9
0.570,NACA 4415,-4.021,9
0.575,NACA 0015,+0.235,9
0.575,NACA 4415,-4.021,9
0.580,NACA 0015,+0.238,8
0.580,NACA 4415,-4.021,8
0.585,NACA 0015,+0.238,2
0.585,NACA 4415,-4.021,9
0.590,NACA 0015,+0.241,7
0.590,NACA 4415,-4.023,4
0.595,NACA 0015,+0.241,5
0.595,NACA 4415,-4.012,4
0.605,NACA 0015,+0.246,8
0.605,NACA 4415,-4.017,3
0.610,NACA 0015,+0.246,9
0.610,NACA 4415,-4.010,9
0.615,NACA 0015,+0.246,8
0.615,NACA 4415,-4.015,2
0.620,NACA 0015,+0.246,9
0.620,NACA 4415,-4.015,8
0.625,NACA 0015,+0.246,9
0.625,NACA 4415,-4.015,4
0.630,NACA 0015,+0.246,9
0.630,NACA 4415,-4.015,2
0.635,NACA 0015,+0.246,8
0.635,NACA 4415,-4.009,8
0.640,NACA 0015,+0.245,7
0.640,NACA 4415,-4.009,9
0.645,NACA 4415,-4.013,8
0.655,NACA 0015,+0.256,4
0.655,NACA 4415,-4.022,7
0.660,NACA 4415,-4.026,1
0.665,NACA 0015,+0.258,9
0.665,NACA 4415,-4.036,9
0.670,NACA 0015,+0.258,8
0.670,NACA 4415,-4.049,4
0.675,NACA 0015,+0.258,9
0.675,NACA 4415,-4.118,4
0.680,NACA 0015,+0.258,9
0.680,NACA 4415,-4.138,6
0.685,NACA 0015,+0.258,9
0.685,NACA 4415,-4.209,6
0.690,NACA 0015,+0.258,8
0.690,NACA 4415,-4.252,8
0.695,NACA 0015,+0.254,8
0.695,NACA 4415,-4.312,8
0.705,NACA 4415,-4.507,1
0.710,NACA 0015,+0.247,5
0.710,NACA 4415,-4.548,9
0.715,NACA 0015,+0.248,7
0.715,NACA 4415,-4.708,3
0.720,NACA 4415,-4.740,3
0.725,NACA 0015,+0.251,8
0.725,NACA 4415,-4.913,8
0.730,NACA 0015,+0.252,9
0.730,NACA 4415,-5.082,4
0.735,NACA 0015,+0.253,9
0.735,NACA 4415,-5.214,9
0.740,NACA 0015,+0.252,9
0.740,NACA 4415,-5.363,6
0.745,NACA 0015,+0.252,7
0.745,NACA 4415,-5.599,6
0.755,NACA 0015,+0.258,8
0.760,NACA 0015,+0.260,9
0.765,NACA 0015,+0.263,2
0.770,NACA 0015,+0.292,7
0.775,NACA 0015,+0.295,6
0.785,NACA 0015,+0.322,9
0.790,NACA 0015,+0.333,9
0.795,NACA 0015,+0.345,7
0.805,NACA 0015,+0.506,7
0.810,NACA 0015,+0.771,9
0.815,NACA 0015,+1.045,9
0.820,NACA 0015,+1.322,8
0.825,NACA 0015,+1.608,9
